Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,true_label,anomaly_score,predicted_anomaly,original_label
80,84287145,9,5,309,11595,303,0,34.33333333,100.769539,8688,0,2319.0,3633.79705,141.231501,0.166098875,6483626.538,23300000.0,84100000,1,84200000,10500000.0,29700000.0,84100000,1,149402,37350.5,64947.10716,134211,100,0,0,0,0,284,168,0.106777849,0.059321027,0,8688,793.6,2241.676025,5025111.4,0,0,0,0,1,0,0,0,0,850.2857143,34.33333333,2319.0,284,0,0,0,0,0,0,9,309,5,11595,251,235,2,20,2023.0,0.0,2023,2023,84100000.0,0.0,84100000,84100000,1,2.1861823,1,DoS Hulk
880,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1,0.035378873,1,PortScan
80,97849415,8,7,368,11595,368,0,46.0,130.1076477,4344,0,1656.428571,1547.737688,122.25929,0.153296778,6989243.929,26100000.0,97800000,2,97800000,14000000.0,37000000.0,97800000,2,26574,4429.0,6794.232466,15047,49,0,0,0,0,264,232,0.081758281,0.071538496,0,4344,747.6875,1285.044213,1651338.629,0,0,0,0,1,0,0,0,0,797.5333333,46.0,1656.428571,264,0,0,0,0,0,0,8,368,7,11595,274,235,1,32,911.0,0.0,911,911,97800000.0,0.0,97800000,97800000,1,1.2779952,1,DoS Hulk
80,39723,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,292701.9611,176.2203258,6620.5,15320.2665,37886,106,39015,19507.5,26211.74127,38042,973,39567,13189.0,22322.96703,38965,186,0,0,0,0,72,92,75.52299675,100.697329,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1,2.4431038,1,DDoS
1947,45,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,133333.3333,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22222.22222,22222.22222,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1,0.03598969,1,PortScan
80,86471463,8,7,399,11595,375,0,49.875,131.4038894,4355,0,1656.428571,2121.983652,138.7047193,0.173467633,6176533.071,22800000.0,85500000,15,86500000,12400000.0,32200000.0,85500000,48,86500000,14400000.0,35300000.0,86500000,15,0,0,0,0,224,232,0.092516071,0.080951562,0,4355,750.0,1578.268714,2490932.133,1,0,0,0,0,0,0,0,0,800.0,49.875,1656.428571,224,0,0,0,0,0,0,8,399,7,11595,0,235,4,20,8017.0,0.0,8017,8017,85500000.0,0.0,85500000,85500000,1,6.508066,1,DoS Hulk
80,15371,3,4,26,11601,20,0,8.666666667,10.26320288,7300,0,2900.25,3563.297197,756424.4356,455.4030317,2561.833333,3841.437097,8832,109,6247,3123.5,4174.051329,6075,172,15217,5072.333333,4433.780591,8832,183,0,0,0,0,72,92,195.1727279,260.2303038,0,7300,1453.375,2798.956588,7834157.982,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1,1.4302014,1,DDoS
80,100043447,7,6,696,11595,339,0,99.42857143,163.6804378,5792,0,1932.5,2181.008184,122.8566225,0.129943543,8336953.917,28800000.0,99700000,1,99900000,16700000.0,40700000.0,99700000,1,359216,71843.2,103139.6659,223871,45,0,0,0,0,196,200,0.0699696,0.059973943,0,5792,878.3571429,1655.298003,2740011.478,1,0,0,0,0,0,0,0,0,945.9230769,99.42857143,1932.5,196,0,0,0,0,0,0,7,696,6,11595,0,235,4,20,12826.0,0.0,12826,12826,99700000.0,0.0,99700000,99700000,1,8.193261,1,DoS Hulk
80,1844986,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,6305.196896,4.336076263,263569.4286,696892.4933,1843973,3,785,392.5,277.892965,589,196,1844940,461235.0,921825.3992,1843973,3,0,0,0,0,72,112,1.626028599,2.710047664,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1,1.1030579,1,DDoS
80,53410,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,217805.6544,131.061599,8901.666667,21390.97625,52563,5,775,387.5,458.912301,712,63,53351,17783.66667,30122.29808,52563,5,0,0,0,0,72,92,56.16925669,74.89234226,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1,8.52807,1,DDoS
